Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Kysre Gondrezick,CHI,G,5,16,5,0,16,2,7,0.286,1,6,0.167,1,1,1,0,0,,1,2,2,4,0,3,2,5
Allisha Gray,ATL,G,40,1330,40,40,1330,205,509,0.403,69,202,0.342,136,307,0.443,143,186,0.769,44,175,107,42,29,67,94,622
Chelsea Gray,LVA,G,27,702,27,25,702,84,206,0.408,26,77,0.338,58,129,0.45,39,48,0.813,5,79,132,34,19,64,37,233
Brittney Griner,PHO,C,30,861,30,30,861,219,378,0.579,9,18,0.5,210,360,0.583,87,112,0.777,54,197,69,16,46,53,57,534
Megan Gustafson,LVA,C,38,405,38,7,405,53,106,0.5,22,57,0.386,31,49,0.633,13,17,0.765,23,73,9,13,5,14,59,141
Dearica Hamby,LAS,F,40,1346,40,40,1346,268,523,0.512,30,88,0.341,238,435,0.547,125,198,0.631,61,368,139,68,8,118,110,691
Isabelle Harrison,CHI,F,36,587,36,5,587,95,238,0.399,3,18,0.167,92,220,0.418,41,50,0.82,38,141,27,20,12,39,47,234
Mikiah Herbert Harrigan,PHO,F,31,336,31,3,336,35,85,0.412,17,52,0.327,18,33,0.545,11,20,0.55,15,45,9,16,11,15,28,98
Tyasha Harris,CON,G,39,1125,39,38,1125,145,341,0.425,60,152,0.395,85,189,0.45,59,77,0.766,10,69,119,40,13,54,66,409
Tiffany Hayes,LVA,G,33,708,33,5,708,110,220,0.5,33,82,0.402,77,138,0.558,60,84,0.714,27,92,69,25,9,28,68,313
Destanni Henderson,ATL,G,6,105,6,0,105,10,29,0.345,1,10,0.1,9,19,0.474,3,7,0.429,0,12,15,2,1,10,5,24
Natisha Hiedeman,MIN,G,40,607,40,0,607,73,192,0.38,23,82,0.28,50,110,0.455,25,34,0.735,15,62,95,32,6,44,49,194
Naz Hillmon,ATL,F,40,868,40,19,868,90,163,0.552,1,3,0.333,89,160,0.556,48,63,0.762,64,193,52,28,11,38,54,229
Joyner Holmes,SEA,F,27,231,27,0,231,33,78,0.423,6,31,0.194,27,47,0.574,7,11,0.636,14,49,25,6,6,21,28,79
Jordan Horston,SEA,F,39,871,39,14,871,111,225,0.493,13,52,0.25,98,173,0.566,31,43,0.721,47,168,69,50,26,66,73,266
Natasha Howard,DAL,F,27,825,27,26,825,187,410,0.456,11,55,0.2,176,355,0.496,89,124,0.718,53,182,78,34,21,76,85,474
Rhyne Howard,ATL,G,30,1018,30,29,1018,167,450,0.371,80,243,0.329,87,207,0.42,105,134,0.784,25,131,95,54,19,51,63,519
Lexie Hull,IND,G,34,671,34,11,671,60,136,0.441,33,70,0.471,27,66,0.409,33,41,0.805,33,84,36,22,11,29,85,186
Sabrina Ionescu,NYL,G,38,1221,38,38,1221,239,607,0.394,107,322,0.332,132,285,0.463,106,118,0.898,28,169,235,38,13,104,46,691
Rickea Jackson,LAS,F,40,1152,40,35,1152,200,439,0.456,43,124,0.347,157,315,0.498,92,114,0.807,51,155,59,27,14,76,70,535
Brionna Jones,CON,F,40,1087,40,40,1087,220,408,0.539,2,14,0.143,218,394,0.553,107,145,0.738,86,221,60,46,23,51,106,549
Haley Jones,ATL,F-G,40,712,40,24,712,58,146,0.397,6,28,0.214,52,118,0.441,33,47,0.702,10,88,84,14,11,68,80,155
Jonquel Jones,NYL,C,39,1164,39,39,1164,206,382,0.539,59,151,0.391,147,231,0.636,82,104,0.788,67,350,126,30,50,92,113,553
Dorka Juhász,MIN,F,34,548,34,7,548,69,144,0.479,11,34,0.324,58,110,0.527,13,20,0.65,32,129,36,15,13,21,39,162
